INSTITUICAO_ENSINO_ALUNO,ANO,NOME
Rede Decisão,2021,ALUNO-1248
Rede Decisão/União,2020,ALUNO-1249
Escola Pública,2021,ALUNO-125
Escola Pública,2021,ALUNO-1250
Escola Pública,2021,ALUNO-1251
Escola Pública,2020,ALUNO-1252
Escola Pública,2020,ALUNO-1253
Escola Pública,2021,ALUNO-1254
Escola Pública,2021,ALUNO-1256
Escola Pública,2020,ALUNO-1257
V202,2020,ALUNO-1259
Escola Pública,2021,ALUNO-126
Escola Pública,2021,ALUNO-1260
Rede Decisão/União,2020,ALUNO-1261
Escola Pública,2020,ALUNO-1262
Escola Pública,2021,ALUNO-1264
Escola Pública,2020,ALUNO-1265
Escola Pública,2021,ALUNO-1266
Escola Pública,2021,ALUNO-1268
Escola Pública,2021,ALUNO-127
Escola Pública,2020,ALUNO-1270
Escola Pública,2020,ALUNO-1274
Escola Pública,2021,ALUNO-1275
Escola Pública,2020,ALUNO-1277
Escola Pública,2021,ALUNO-1278
Escola Pública,2021,ALUNO-1279
Escola Pública,2021,ALUNO-128
Escola Pública,2020,ALUNO-1281
Rede Decisão/União,2020,ALUNO-1282
Escola Pública,2020,ALUNO-1284
Escola Pública,2021,ALUNO-1285
Escola Pública,2021,ALUNO-1286
Escola Pública,2021,ALUNO-1287
Rede Decisão,2021,ALUNO-1288
Escola Pública,2021,ALUNO-1289
Escola Pública,2021,ALUNO-129
FIAP,2020,ALUNO-1290
Escola Pública,2020,ALUNO-1291
Rede Decisão,2021,ALUNO-1292
Escola Pública,2020,ALUNO-1293
Escola Pública,2020,ALUNO-1294
Escola Pública,2021,ALUNO-1296
Escola Pública,2020,ALUNO-1297
Escola Pública,2021,ALUNO-1298
Rede Decisão,2021,ALUNO-1299
Escola Pública,2021,ALUNO-13
Escola Pública,2021,ALUNO-1300
Escola Pública,2021,ALUNO-1301
Escola Pública,2021,ALUNO-1302
Escola Pública,2020,ALUNO-1303
Escola Pública,2021,ALUNO-1307
Escola Pública,2021,ALUNO-1308
Escola Pública,2020,ALUNO-1309
Escola Pública,2021,ALUNO-1310
Escola Pública,2020,ALUNO-1313
Rede Decisão,2021,ALUNO-1315
Escola Pública,2020,ALUNO-1316
Estácio,2020,ALUNO-1318
Escola Pública,2021,ALUNO-1319
Escola Pública,2020,ALUNO-132
Escola Pública,2021,ALUNO-1323
Escola Pública,2021,ALUNO-1324
Escola Pública,2020,ALUNO-1325
Escola Pública,2021,ALUNO-1326
Rede Decisão/União,2020,ALUNO-1328
Escola Pública,2021,ALUNO-133
Escola Pública,2021,ALUNO-1330
Escola Pública,2021,ALUNO-1332
Escola Pública,2021,ALUNO-1334
Rede Decisão,2021,ALUNO-1335
Escola Pública,2020,ALUNO-1336
Escola Pública,2021,ALUNO-1338
Escola Pública,2020,ALUNO-1339
Rede Decisão/União,2020,ALUNO-1341
Escola Pública,2021,ALUNO-1343
Escola Pública,2021,ALUNO-1344
Escola Pública,2021,ALUNO-1345
Escola Pública,2020,ALUNO-1347
Rede Decisão,2021,ALUNO-1348
Escola Pública,2021,ALUNO-135
Escola Pública,2020,ALUNO-136
Escola Pública,2021,ALUNO-137
Escola Pública,2020,ALUNO-139
Escola Pública,2020,ALUNO-14
Escola Pública,2021,ALUNO-143
Rede Decisão/União,2020,ALUNO-145
Escola Pública,2020,ALUNO-146
Escola Pública,2020,ALUNO-147
Rede Decisão,2021,ALUNO-149
Escola Pública,2020,ALUNO-15
Rede Decisão,2021,ALUNO-151
Rede Decisão,2021,ALUNO-152
Rede Decisão,2021,ALUNO-153
Escola Pública,2021,ALUNO-154
Escola Pública,2021,ALUNO-155
Rede Decisão,2021,ALUNO-156
Escola Pública,2020,ALUNO-157
Escola Pública,2021,ALUNO-158
Escola Pública,2021,ALUNO-159
Escola Pública,2020,ALUNO-160
