INSTITUICAO_ENSINO_ALUNO,ANO,NOME
Escola Pública,2021,ALUNO-737
Rede Decisão,2021,ALUNO-738
Rede Decisão,2021,ALUNO-739
Escola Pública,2021,ALUNO-740
Escola Pública,2021,ALUNO-741
Escola Pública,2021,ALUNO-742
Escola Pública,2021,ALUNO-743
Escola Pública,2020,ALUNO-744
Escola Pública,2020,ALUNO-745
Rede Decisão,2021,ALUNO-746
Escola Pública,2021,ALUNO-747
Escola Pública,2021,ALUNO-748
Escola Pública,2021,ALUNO-749
Rede Decisão,2021,ALUNO-75
Escola Pública,2020,ALUNO-750
Escola Pública,2021,ALUNO-753
Rede Decisão,2021,ALUNO-755
Escola Pública,2020,ALUNO-756
Escola Pública,2021,ALUNO-757
Escola Pública,2021,ALUNO-758
Escola Pública,2021,ALUNO-76
Escola Pública,2021,ALUNO-760
Escola Pública,2021,ALUNO-763
Escola Pública,2021,ALUNO-766
Escola Pública,2020,ALUNO-767
Rede Decisão,2021,ALUNO-768
Escola Pública,2021,ALUNO-769
Escola Pública,2021,ALUNO-77
Rede Decisão,2021,ALUNO-773
Escola Pública,2021,ALUNO-775
Escola Pública,2021,ALUNO-776
Escola Pública,2021,ALUNO-777
Escola Pública,2020,ALUNO-779
Escola Pública,2021,ALUNO-78
Escola Pública,2020,ALUNO-780
Escola Pública,2021,ALUNO-781
Rede Decisão/União,2020,ALUNO-782
Escola Pública,2021,ALUNO-783
Rede Decisão,2021,ALUNO-784
Escola Pública,2020,ALUNO-785
Escola Pública,2021,ALUNO-786
Escola Pública,2020,ALUNO-789
Rede Decisão,2021,ALUNO-790
Escola Pública,2021,ALUNO-792
Escola Pública,2021,ALUNO-793
Rede Decisão,2021,ALUNO-794
Escola Pública,2020,ALUNO-795
Escola Pública,2021,ALUNO-796
Escola Pública,2021,ALUNO-797
Escola Pública,2021,ALUNO-798
Rede Decisão,2021,ALUNO-8
Escola Pública,2020,ALUNO-80
Escola Pública,2021,ALUNO-802
Escola Pública,2021,ALUNO-803
Escola Pública,2021,ALUNO-805
Escola Pública,2021,ALUNO-807
Escola Pública,2021,ALUNO-809
Rede Decisão,2021,ALUNO-81
Rede Decisão,2021,ALUNO-811
Escola Pública,2021,ALUNO-812
Escola Pública,2021,ALUNO-813
Escola Pública,2021,ALUNO-814
Escola Pública,2021,ALUNO-817
Escola Pública,2021,ALUNO-818
Escola Pública,2020,ALUNO-82
Rede Decisão,2021,ALUNO-820
Escola Pública,2020,ALUNO-821
Escola Pública,2021,ALUNO-822
Rede Decisão,2021,ALUNO-823
Escola Pública,2021,ALUNO-824
Escola JP II,2021,ALUNO-825
Escola Pública,2021,ALUNO-826
Escola Pública,2021,ALUNO-827
Rede Decisão,2021,ALUNO-828
Escola Pública,2021,ALUNO-829
Rede Decisão,2021,ALUNO-83
Rede Decisão,2021,ALUNO-830
Escola Pública,2021,ALUNO-831
Escola Pública,2021,ALUNO-833
Escola Pública,2021,ALUNO-834
Escola Pública,2021,ALUNO-835
Escola Pública,2020,ALUNO-837
Rede Decisão,2021,ALUNO-838
Escola Pública,2021,ALUNO-84
Escola Pública,2021,ALUNO-840
Escola Pública,2020,ALUNO-842
Escola Pública,2021,ALUNO-843
Escola Pública,2021,ALUNO-845
Escola Pública,2020,ALUNO-846
Escola Pública,2021,ALUNO-848
Escola Pública,2021,ALUNO-849
Escola Pública,2021,ALUNO-85
Rede Decisão,2021,ALUNO-850
Escola Pública,2021,ALUNO-851
Escola Pública,2021,ALUNO-855
Escola Pública,2021,ALUNO-858
Escola Pública,2020,ALUNO-86
Escola Pública,2021,ALUNO-860
Escola Pública,2021,ALUNO-861
Escola Pública,2021,ALUNO-862
Escola Pública,2021,ALUNO-865
Rede Decisão,2021,ALUNO-866
Escola Pública,2021,ALUNO-867
Escola Pública,2021,ALUNO-868
Rede Decisão,2021,ALUNO-87
Escola Pública,2021,ALUNO-871
Rede Decisão,2021,ALUNO-872
Escola Pública,2021,ALUNO-873
Rede Decisão,2021,ALUNO-874
Escola Pública,2021,ALUNO-875
Escola Pública,2021,ALUNO-877
Escola Pública,2021,ALUNO-878
Rede Decisão,2021,ALUNO-88
Escola Pública,2020,ALUNO-880
Escola Pública,2021,ALUNO-884
Escola Pública,2021,ALUNO-885
Escola Pública,2021,ALUNO-886
Escola Pública,2020,ALUNO-888
Escola Pública,2021,ALUNO-889
Escola Pública,2020,ALUNO-89
Escola Pública,2021,ALUNO-890
Escola Pública,2021,ALUNO-892
Escola Pública,2020,ALUNO-894
Escola Pública,2021,ALUNO-897
Escola Pública,2020,ALUNO-898
Escola Pública,2021,ALUNO-899
Escola Pública,2021,ALUNO-90
Escola Pública,2021,ALUNO-900
Escola Pública,2021,ALUNO-902
Rede Decisão,2021,ALUNO-903
Escola Pública,2021,ALUNO-904
Escola Pública,2021,ALUNO-905
Rede Decisão,2021,ALUNO-906
Escola Pública,2021,ALUNO-907
Escola Pública,2020,ALUNO-908
Escola Pública,2021,ALUNO-909
Escola Pública,2021,ALUNO-91
Escola Pública,2021,ALUNO-910
Escola Pública,2021,ALUNO-911
Escola Pública,2020,ALUNO-912
Escola Pública,2021,ALUNO-914
Rede Decisão,2021,ALUNO-916
FIAP,2020,ALUNO-917
Escola Pública,2021,ALUNO-919
Rede Decisão/União,2020,ALUNO-920
Escola Pública,2021,ALUNO-922
Escola Pública,2021,ALUNO-923
Escola Pública,2021,ALUNO-926
Escola Pública,2021,ALUNO-927
Escola Pública,2020,ALUNO-928
Escola Pública,2020,ALUNO-929
Escola Pública,2021,ALUNO-93
Rede Decisão,2021,ALUNO-930
Escola Pública,2021,ALUNO-931
Escola Pública,2021,ALUNO-932
Escola Pública,2020,ALUNO-935
Escola Pública,2021,ALUNO-937
Rede Decisão,2021,ALUNO-938
Escola Pública,2021,ALUNO-939
Escola Pública,2021,ALUNO-94
Escola Pública,2021,ALUNO-940
Escola Pública,2020,ALUNO-942
Escola Pública,2020,ALUNO-943
Escola Pública,2021,ALUNO-944
Escola Pública,2021,ALUNO-945
Escola Pública,2021,ALUNO-946
Escola Pública,2021,ALUNO-947
Escola Pública,2021,ALUNO-948
Escola Pública,2021,ALUNO-95
Rede Decisão/União,2020,ALUNO-950
Rede Decisão,2021,ALUNO-951
UNISA,2020,ALUNO-953
Escola Pública,2021,ALUNO-956
Rede Decisão,2021,ALUNO-957
Rede Decisão,2021,ALUNO-958
Escola Pública,2021,ALUNO-959
Escola Pública,2020,ALUNO-96
Rede Decisão,2021,ALUNO-961
Rede Decisão/União,2020,ALUNO-962
Escola Pública,2021,ALUNO-963
Escola Pública,2021,ALUNO-964
Escola Pública,2021,ALUNO-965
Escola Pública,2021,ALUNO-966
Escola Pública,2020,ALUNO-968
Escola Pública,2021,ALUNO-969
Escola Pública,2021,ALUNO-97
Escola Pública,2020,ALUNO-970
Escola Pública,2021,ALUNO-972
Escola Pública,2021,ALUNO-973
Escola Pública,2021,ALUNO-977
Escola Pública,2021,ALUNO-98
Rede Decisão,2021,ALUNO-983
Escola Pública,2021,ALUNO-984
Escola Pública,2021,ALUNO-986
Escola Pública,2021,ALUNO-987
Escola Pública,2021,ALUNO-989
Escola Pública,2021,ALUNO-991
Escola Pública,2020,ALUNO-992
Rede Decisão,2021,ALUNO-993
Escola Pública,2021,ALUNO-994
Escola Pública,2021,ALUNO-995
Rede Decisão,2021,ALUNO-996
Rede Decisão,2021,ALUNO-997
Rede Decisão,2021,ALUNO-999
